birds,state,category_name,spCode,imgLink
Alder Flycatcher,PA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,RI,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,SC,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,SD,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,TN,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,TX,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,VA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,VT,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,WA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,WI,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,WV,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,WY,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Aleutian Tern,AK,gulls_terns,aleter1,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1683_20160531_2_1000.jpg?itok=K3Ol6yvN
Allen's Hummingbird,AL,hummingbirds,allhum,https://s3.amazonaws.com/com-aab-media/photo/65686541-1280px.jpg
Allen's Hummingbird,AZ,hummingbirds,allhum,https://s3.amazonaws.com/com-aab-media/photo/65686541-1280px.jpg
Allen's Hummingbird,CA,hummingbirds,allhum,https://s3.amazonaws.com/com-aab-media/photo/65686541-1280px.jpg
Allen's Hummingbird,DE,hummingbirds,allhum,https://s3.amazonaws.com/com-aab-media/photo/65686541-1280px.jpg
Allen's Hummingbird,FL,hummingbirds,allhum,https://s3.amazonaws.com/com-aab-media/photo/65686541-1280px.jpg
Allen's Hummingbird,GA,hummingbirds,allhum,https://s3.amazonaws.com/com-aab-media/photo/65686541-1280px.jpg
Allen's Hummingbird,KS,hummingbirds,allhum,https://s3.amazonaws.com/com-aab-media/photo/65686541-1280px.jpg
