Common Name,Species Code
White-cheeked Pintail (Galapagos),whcpin2
Mallard x White-cheeked Pintail (hybrid),x00778
Red-billed Duck,rebduc1
Northern Pintail,norpin
Baikal Teal x Northern Pintail (hybrid),x00837
Gadwall x Northern Pintail (hybrid),x00610
Eurasian Wigeon x Northern Pintail (hybrid),x00761
American Wigeon x Northern Pintail (hybrid),x00196
Mallard x Northern Pintail (hybrid),x00628
American Black Duck x Northern Pintail (hybrid),x00674
Eaton's Pintail,eatpin1
Yellow-billed Pintail,yebpin1
Yellow-billed Pintail (South Georgia),yebpin2
Yellow-billed Pintail (South American),yebpin3
Green-winged Teal,gnwtea
Green-winged Teal (Eurasian),egwtea1
Green-winged Teal (American),agwtea1
Green-winged Teal (intergrade),gnwtea1
Garganey/Green-winged Teal,y00766
Blue-winged x Green-winged Teal (hybrid),x00673
Cinnamon x Green-winged Teal (hybrid),x00763
Gadwall x Green-winged Teal (hybrid),x00762
American Wigeon x Green-winged Teal (hybrid),x00646
Mallard x Green-winged Teal (hybrid),x00670
Northern Pintail x Green-winged Teal (hybrid),x00725
Andean Teal,spetea3
Andean Teal (Merida),andtea2
Andean Teal (Andean),andtea3
Yellow-billed Teal,yebtea1
Yellow-billed Teal (flavirostris),spetea2
Yellow-billed Teal (oxyptera),spetea4
Andean/Yellow-billed Teal,spetea1
Andaman Teal,andtea1
Sunda Teal,suntea1
Gray Teal,gretea1
Chestnut Teal,chetea1
Bernier's Teal,bertea1
Auckland Islands Teal,auitea1
Campbell Islands Teal,caitea1
Brown Teal,brotea1
Mallard x Brown Teal (hybrid),x00878
teal sp.,teal
dabbling duck sp.,dabduc1
Pink-eared Duck,pieduc1
Marbled Teal,martea1
Pink-headed Duck,pihduc1
White-winged Duck,whwduc1
Red-crested Pochard,recpoc
Mallard x Red-crested Pochard (hybrid),x00648
Southern Pochard,soupoc1
Rosy-billed Pochard,robpoc1
Canvasback,canvas
Redhead,redhea
Mallard x Redhead (hybrid),x00879
Canvasback x Redhead (hybrid),x00684
Common Pochard,compoc
Ring-necked Duck,rinduc
Canvasback x Ring-necked Duck (hybrid),x00880
Redhead x Ring-necked Duck (hybrid),x00679
Ferruginous Duck,ferduc
Common Pochard x Ferruginous Duck (hybrid),x00764
Madagascar Pochard,madpoc1
Baer's Pochard,baepoc1
Ferruginous Duck x Baer's Pochard (hybrid),x00838
Ferruginous Duck/Baer's Pochard,y00709
White-eyed Duck,wheduc1
Tufted Duck,tufduc
Common Pochard x Tufted Duck (hybrid),x00683
Ring-necked x Tufted Duck (hybrid),x00652
Ferruginous x Tufted Duck (hybrid),x00839
New Zealand Scaup,nezsca1
Greater Scaup,gresca
Redhead x Greater Scaup (hybrid),x00680
Ring-necked Duck x Greater Scaup (hybrid),x00779
Tufted Duck x Greater Scaup (hybrid),x00654
Lesser Scaup,lessca
Redhead x Lesser Scaup (hybrid),x00678
Ring-necked Duck x Lesser Scaup (hybrid),x00613
Tufted Duck x Lesser Scaup (hybrid),x00653
Greater/Lesser Scaup,scaup
Redhead x scaup sp. (hybrid),x00681
Ring-necked Duck x scaup sp. (hybrid),x00682
Tufted Duck x scaup sp. (hybrid),tdxsca1
Aythya sp.,aythya1
Steller's Eider,steeid
Spectacled Eider,speeid
King Eider,kineid
Common Eider,comeid
Common Eider (Eurasian),comeid5
Common Eider (Faeroe Is.),comeid6
Common Eider (Pacific),comeid1
Common Eider (Dresser's),comeid2
Common Eider (Northern),comeid3
Common Eider (Hudson Bay),comeid4
Mallard x Common Eider (hybrid),x00881
King/Common Eider,eider
King x Common Eider (hybrid),x00665
eider sp.,eider1
Harlequin Duck,harduc
Labrador Duck,labduc
Surf Scoter,sursco
White-winged Scoter,whwsco
White-winged Scoter (Velvet),whwsco3
White-winged Scoter (Siberian),whwsco1
White-winged Scoter (North American),whwsco2
Surf x White-winged Scoter (hybrid),x00882
Common Scoter,blksco1
Black Scoter,blksco2
Surf/Black Scoter,dawsco
Common/Black Scoter,blksco
scoter sp.,scoter
Long-tailed Duck,lotduc
Bufflehead,buffle
Common Goldeneye,comgol
Bufflehead x Common Goldeneye (hybrid),x00655
Barrow's Goldeneye,bargol
Common x Barrow's Goldeneye (hybrid),cxbgol1
Common/Barrow's Goldeneye,y00004
Smew,smew
Hooded Merganser,hoomer
Wood Duck x Hooded Merganser (hybrid),x00202
Bufflehead x Hooded Merganser (hybrid),x00424
Common Goldeneye x Hooded Merganser (hybrid),x00425
Barrow's Goldeneye x Hooded Merganser (hybrid),x00426
goldeneye sp. x Hooded Merganser (hybrid),x00631
Auckland Islands Merganser,auimer1
Common Merganser,commer
Common Merganser (Eurasian),goosan1
Common Merganser (North American),commer1
Common Eider x Common Merganser (hybrid),x00840
Hooded x Common Merganser (hybrid),x00726
Brazilian Merganser,bramer1
Red-breasted Merganser,rebmer
Ring-necked Duck x Red-breasted Merganser (hybrid),x00614
Common x Red-breasted Merganser (hybrid),x00780
Common/Red-breasted Merganser,y00224
Scaly-sided Merganser,scsmer1
merganser sp.,mergan1
Black-headed Duck,blhduc1
Masked Duck,masduc
Ruddy Duck,rudduc
Ruddy Duck (Ruddy),rudduc1
Ruddy Duck (Andean),rudduc2
Masked/Ruddy Duck,y00710
White-headed Duck,whhduc1
Ruddy x White-headed Duck (hybrid),x00705
Maccoa Duck,macduc1
Lake Duck,lakduc1
Ruddy/Lake Duck,y00601
Blue-billed Duck,blbduc1
Musk Duck,musduc1
duck sp.,duck1
waterfowl sp.,waterf1
Australian Brushturkey,ausbrt1
Wattled Brushturkey,watbrt1
Waigeo Brushturkey,brubrt1
Red-billed Brushturkey,rebbrt1
Yellow-legged Brushturkey,bkbbrt1
Red-legged Brushturkey,bncbrt1
Talegalla sp.,talega1
Malleefowl,mallee1
Maleo,maleo1
Moluccan Scrubfowl,molscr1
Niuafoou Scrubfowl,niuscr1
Micronesian Scrubfowl,micscr1
Nicobar Scrubfowl,nicscr1
Tabon Scrubfowl,tabscr1
Sula Scrubfowl,sulscr1
Tanimbar Scrubfowl,tanscr1
Dusky Scrubfowl,dusscr2
Biak Scrubfowl,dusscr3
Forsten's Scrubfowl,forscr1
Melanesian Scrubfowl,melscr1
Vanuatu Scrubfowl,vanscr1
New Guinea Scrubfowl,negscr1
Orange-footed Scrubfowl,orfscr1
Plain Chachalaca,placha
Gray-headed Chachalaca,grhcha1
Chestnut-winged Chachalaca,chwcha1
Rufous-vented Chachalaca,ruvcha1
Rufous-vented Chachalaca (Rufous-vented),ruvcha2
Rufous-vented Chachalaca (Rufous-tipped),ruvcha3
Rufous-headed Chachalaca,ruhcha1
Rufous-bellied Chachalaca,rubcha1
West Mexican Chachalaca,wemcha1
Chaco Chachalaca,chacha1
White-bellied Chachalaca,whbcha1
Colombian Chachalaca,colcha1
Speckled Chachalaca,specha3
East Brazilian Chachalaca,specha2
Scaled Chachalaca,specha4
Variable Chachalaca,varcha1
Variable Chachalaca (Little),varcha2
Variable Chachalaca (Chestnut-headed),varcha3
Buff-browed Chachalaca,bubcha1
chachalaca sp.,chacha2
Band-tailed Guan,batgua1
Bearded Guan,beagua1
Baudo Guan,baugua1
Andean Guan,andgua1
Marail Guan,margua1
Rusty-margined Guan,rumgua1
Red-faced Guan,refgua1
Spix's Guan,spigua1
Spix's Guan (Grant's),spigua3
Spix's Guan (Spix's),spigua2
Marail/Spix's Guan,y00657
Crested Guan,cregua1
Cauca Guan,caugua1
White-winged Guan,whwgua1
Dusky-legged Guan,dulgua1
Dusky-legged Guan (Dusky-legged),dulgua2
Dusky-legged Guan (Bridges's),dulgua3
White-crested Guan,whcgua1
Chestnut-bellied Guan,chbgua1
White-browed Guan,whbgua1
Penelope sp.,penelo1
Trinidad Piping-Guan,trpgua1
Blue-throated Piping-Guan,btpgua1
Blue-throated Piping-Guan (Blue-throated),butpig1
Blue-throated Piping-Guan (White-throated),butpig2
Red-throated Piping-Guan,rtpgua1
Red-throated Piping-Guan (Gray-crested),retpig1
Red-throated Piping-Guan (White-crested),retpig2
Blue-throated/Red-throated Piping-Guan,y00831
Black-fronted Piping-Guan,bfpgua1
Wattled Guan,watgua1
Black Guan,blagua1
Sickle-winged Guan,siwgua1
Highland Guan,higgua1
Horned Guan,horgua1
Nocturnal Curassow,noccur1
Crestless Curassow,crecur2
Salvin's Curassow,salcur1
Razor-billed Curassow,rabcur2
Alagoas Curassow,alacur1
Helmeted Curassow,helcur1
Sira Curassow,horcur2
Horned Curassow,horcur3
Great Curassow,grecur1
Blue-billed Curassow,bubcur1
Yellow-knobbed Curassow,yekcur1
Black Curassow,blacur1
Wattled Curassow,watcur1
Bare-faced Curassow,bafcur1
Bare-faced Curassow (Belem),bafcur2
Bare-faced Curassow (Bare-faced),bafcur3
Red-billed Curassow,rebcur1
curassow sp.,curass1
Cracidae sp.,cracid1
Helmeted Guineafowl,helgui
Helmeted Guineafowl (Moroccan),helgui2
Helmeted Guineafowl (West African),helgui4
Helmeted Guineafowl (Helmeted),helgui3
Helmeted Guineafowl (Reichenow's),helgui5
Helmeted Guineafowl (Tufted),helgui6
Helmeted Guineafowl (Domestic type),helgui1
White-breasted Guineafowl,whbgui1
Black Guineafowl,blagui1
Vulturine Guineafowl,vulgui1
Plumed Guineafowl,plugui1
Crested Guineafowl,cregui1
Crested Guineafowl (Kenya),cregui3
Crested Guineafowl (Western),cregui2
Crested Guineafowl (Southern),cregui4
Stone Partridge,stopar1
Stone Partridge (Stone),stopar2
Stone Partridge (Ethiopian),stopar3
Nahan's Francolin,nahfra2
Tawny-faced Quail,tafqua1
Mountain Quail,mouqua
Bearded Wood-Partridge,bewpar1
Long-tailed Wood-Partridge,ltwpar1
Buffy-crowned Wood-Partridge,bcwpar1
Banded Quail,banqua1
Northern Bobwhite,norbob
Northern Bobwhite (Eastern),norbob1
Northern Bobwhite (graysoni),norbob2
Northern Bobwhite (pectoralis),norbob3
Northern Bobwhite (Masked),masbob1
Black-throated Bobwhite,bltbob1
Crested Bobwhite,crebob1
Crested Bobwhite (Spot-bellied),crebob2
Crested Bobwhite (Crested),crebob3
Scaled Quail,scaqua
Northern Bobwhite x Scaled Quail (hybrid),x00688
Elegant Quail,elequa
California Quail,calqua
Scaled x California Quail (hybrid),x00687
Gambel's Quail,gamqua
Scaled x Gambel's Quail (hybrid),x00689
California x Gambel's Quail (hybrid),y00315
California/Gambel's Quail,y00711
Montezuma Quail,monqua
Montezuma Quail (Montezuma),monqua1
Montezuma Quail (Salle's),monqua2
Ocellated Quail,ocequa1
Singing Quail,sinqua1
Marbled Wood-Quail,mawqua1
Spot-winged Wood-Quail,swwqua1
Black-eared Wood-Quail,bewqua1
Black-fronted Wood-Quail,bfwqua1
Rufous-fronted Wood-Quail,rfwqua1
Chestnut Wood-Quail,chwqua1
Dark-backed Wood-Quail,dbwqua1
Rufous-breasted Wood-Quail,rbwqua1
Tacarcuna Wood-Quail,tawqua1
Gorgeted Wood-Quail,gowqua1
Venezuelan Wood-Quail,venwoq1
Black-breasted Wood-Quail,bbwqua1
Stripe-faced Wood-Quail,sfwqua1
Starred Wood-Quail,stwqua1
Spotted Wood-Quail,spwqua1
wood-quail sp.,wood-q1
new world quail sp.,quail1
Udzungwa Partridge,udzpar1
Udzungwa Partridge (Udzungwa),udzpar3
Udzungwa Partridge (Rubeho),udzpar2
Ferruginous Partridge,ferpar2
Crested Partridge,crepar1
Black Partridge,blapar2
Hill Partridge,hilpar1
Sichuan Partridge,sicpar1
Chestnut-breasted Partridge,chbpar2
White-necklaced Partridge,whnpar2
Rufous-throated Partridge,rutpar1
White-cheeked Partridge,whcpar1
Taiwan Partridge,taipar1
Hainan Partridge,haipar1
Chestnut-bellied Partridge,chbpar1
Malaysian Partridge,gybpar3
Roll's Partridge,gybpar5
Sumatran Partridge,gybpar6
Roll's/Sumatran Partridge,y01018
Gray-breasted Partridge,gybpar4
Bar-backed Partridge,babpar1
Orange-necked Partridge,ornpar1
Chestnut-headed Partridge,chhpar1
Chestnut-headed Partridge (Siamese),chhpar3
Chestnut-headed Partridge (Chestnut-headed),chhpar2
Red-breasted Partridge,rebpar5
Red-billed Partridge,rebpar3
Scaly-breasted Partridge,scbpar1
Chestnut-necklaced Partridge,chnpar1
Chestnut-necklaced Partridge (Chestnut-necklaced),chnpar2
Chestnut-necklaced Partridge (Sabah),chnpar3
Arborophila sp.,arboro1
Long-billed Partridge,lobpar1
Long-billed Partridge (Long-billed),lobpar3
Long-billed Partridge (Hose's),lobpar2
Crested Argus,crearg1
Great Argus,grearg1
Indian Peafowl,compea
Indian Peafowl (Domestic type),indpea1
Green Peafowl,grepea1
Congo Peacock,conpea1
Crimson-headed Partridge,crhpar1
Red Spurfowl,redspu1
Painted Spurfowl,paispu1
Red/Painted Spurfowl,y00768
Sri Lanka Spurfowl,ceyspu1
Palawan Peacock-Pheasant,palpep1
Malayan Peacock-Pheasant,mapphe1
Bornean Peacock-Pheasant,bopphe1
Germain's Peacock-Pheasant,gepphe1
Hainan Peacock-Pheasant,grypep3
Mountain Peacock-Pheasant,mopphe1
Bronze-tailed Peacock-Pheasant,btpphe1
Gray Peacock-Pheasant,grypep2
See-see Partridge,sespar1
Sand Partridge,sanpar1
Brown Quail,broqua1
Blue-breasted Quail,blbqua1
Blue Quail,bluqua1
Snow Mountain Quail,snmqua2
Madagascar Partridge,madpar2
Japanese Quail,japqua
Common Quail,comqua1
Harlequin Quail,harqua1
Rain Quail,raiqua1
Common/Rain Quail,y00935
Stubble Quail,stuqua1
New Zealand Quail,nezqua1
old world quail sp.,coturn1
Rock Partridge,rocpar2
Rock Partridge (European),rocpar3
Rock Partridge (Sicilian),rocpar4
Chukar,chukar
Philby's Partridge,phipar1
Przevalski's Partridge,przpar1
Red-legged Partridge,relpar1
Rock x Red-legged Partridge (hybrid),x00640
Rock/Red-legged Partridge,y00767
Arabian Partridge,arapar1
Barbary Partridge,barpar2
Caucasian Snowcock,causno1
Caspian Snowcock,cassno1
Altai Snowcock,altsno1
Tibetan Snowcock,tibsno1
Himalayan Snowcock,himsno
Tibetan/Himalayan Snowcock,y00936
Jungle Bush-Quail,jubqua1
Rock Bush-Quail,robqua1
Jungle/Rock Bush-Quail,y00712
Painted Bush-Quail,pabqua1
Manipur Bush-Quail,mabqua1
Himalayan Quail,himqua1
Hartlaub's Francolin,harfra3
Handsome Francolin,hanfra2
Cameroon Francolin,camfra2
Chestnut-naped Francolin,chnfra2
Chestnut-naped Francolin (Chestnut-naped),chnfra1
Chestnut-naped Francolin (Black-fronted),chnfra3
Erckel's Francolin,ercfra
Djibouti Francolin,djifra1
Double-spurred Francolin,dosfra2
Heuglin's Francolin,heufra1
Ahanta Francolin,ahafra2
Gray-striped Francolin,gysfra1
Scaly Francolin,scafra2
Red-billed Francolin,rebfra1
Cape Francolin,capfra2
Natal Francolin,natfra2
Hildebrandt's Francolin,hilfra2
Jackson's Francolin,jacfra2
Swierstra's Francolin,swifra2
Clapperton's Francolin,clafra1
Harwood's Francolin,harfra4
Swainson's Francolin,swafra2
Yellow-necked Francolin,yenspu1
Gray-breasted Francolin,gybfra1
Red-necked Francolin,renfra1
Red-necked Francolin (Cranch's),renfra2
Red-necked Francolin (Northern),renfra3
Red-necked Francolin (Benguela),renfra4
Red-necked Francolin (Southern),renfra5
Black Francolin,blkfra
Painted Francolin,paifra1
Chinese Francolin,chifra1
Gray Francolin,gryfra
Swamp Francolin,swafra1
Crested Francolin,crefra2
Crested Francolin (Kirk's),crefra1
Crested Francolin (Crested),crefra3
Mountain Bamboo-Partridge,mobpar1
Chinese Bamboo-Partridge,chbpar3
Taiwan Bamboo-Partridge,taibap1
Red Junglefowl,redjun
Red Junglefowl (Domestic type),redjun1
Gray Junglefowl,grejun2
Sri Lanka Junglefowl,ceyjun1
Green Junglefowl,grejun1
Coqui Francolin,coqfra2
Coqui Francolin (Plain-breasted),coqfra1
Coqui Francolin (Bar-breasted),coqfra3
White-throated Francolin,whtfra2
White-throated Francolin (White-throated),whtfra1
White-throated Francolin (Chestnut-breasted),whtfra3
Schlegel's Francolin,schfra2
Latham's Francolin,forfra2
Red-winged Francolin,rewfra2
