Common Name,Species Code
Plain Xenops,plaxen1
Plain Xenops (mexicanus Group),plaxen2
Plain Xenops (genibarbis Group),plaxen3
Plain Xenops (White-throated),plaxen4
Streaked Xenops,strxen1
Slender-billed/Streaked Xenops,y00738
xenops sp.,xenops1
Point-tailed Palmcreeper,potpal1
Rufous-tailed Xenops,rutxen1
White-throated Treerunner,whttre2
Rock Earthcreeper,rocear1
Straight-billed Earthcreeper,stbear2
Band-tailed Earthcreeper,batear1
Crag Chilia,crachi1
Buffy Tuftedcheek,buftuf1
Buffy Tuftedcheek (Buffy),buftuf2
Buffy Tuftedcheek (Pacific),buftuf3
Streaked Tuftedcheek,strtuf1
Rusty-winged Barbtail,ruwbar1
Bolivian Earthcreeper,bolear1
Chaco Earthcreeper,chaear1
Wing-banded Hornero,wibhor1
Pale-legged Hornero,palhor2
Pale-legged Hornero (Caribbean),palhor5
Pale-legged Hornero (Pale-legged),palhor3
Pale-legged Hornero (Pacific),palhor4
Pale-billed Hornero,pabhor2
Lesser Hornero,leshor1
Rufous Hornero,rufhor2
Crested Hornero,crehor1
hornero sp.,horner1
Sharp-tailed Streamcreeper,shtstr1
Wren-like Rushbird,wrlrus1
Curve-billed Reedhaunter,cubree1
Striated Earthcreeper,strear1
Patagonian Forest Earthcreeper,pafear1
Scale-throated Earthcreeper,sctear1
White-throated Earthcreeper,whtear1
Buff-breasted Earthcreeper,bubear2
Buff-breasted Earthcreeper (Plain-breasted),plbear1
Buff-breasted Earthcreeper (Buff-breasted),bubear1
Upucerthia sp.,upucer1
Long-tailed Cinclodes,lotcin1
Long-tailed Cinclodes (Cipo),lotcin2
Long-tailed Cinclodes (Long-tailed),lotcin3
Buff-winged Cinclodes,buwcin1
Blackish Cinclodes,blacin1
Blackish Cinclodes (Black),blacin2
Blackish Cinclodes (Blackish),blacin3
Cordoba Cinclodes,corcin1
Chestnut-winged Cinclodes,chwcin1
Olrog's Cinclodes,olrcin1
Cream-winged Cinclodes,crwcin1
bar-winged cinclodes sp.,bawcin1
Gray-flanked Cinclodes,gyfcin1
Stout-billed Cinclodes,stbcin1
Royal Cinclodes,roycin1
White-bellied Cinclodes,whbcin1
White-winged Cinclodes,whwcin1
Dark-bellied Cinclodes,dabcin1
Surf Cinclodes,surcin1
Seaside Cinclodes,seacin1
Cinclodes sp.,cinclo1
Dusky-cheeked Foliage-gleaner,ducfog1
White-collared Foliage-gleaner,wcfgle1
Great Xenops,grexen1
Pale-browed Treehunter,pabtre1
Pale-browed Treehunter (Pale-tailed),pabtre2
Pale-browed Treehunter (Rufous-tailed),pabtre3
Cryptic Treehunter,crytre1
Sharp-billed Treehunter,shbtre1
Bahia Treehunter (undescribed form),bahtre1
Slaty-winged Foliage-gleaner,swfgle
Slaty-winged Foliage-gleaner (Dusky-winged),slwfog1
Slaty-winged Foliage-gleaner (Rufous-backed),slwfog2
Rufous-rumped Foliage-gleaner,rurfog1
Chestnut-winged Foliage-gleaner,chwfog1
Alagoas Foliage-gleaner,alfgle1
Cryptic Treehunter/Alagoas Foliage-Gleaner,y00969
Black-capped Foliage-gleaner,bcfgle1
Buff-fronted Foliage-gleaner,bffgle
Cinnamon-rumped Foliage-gleaner,crfgle1
Philydor sp.,philyd1
Scaly-throated Foliage-gleaner,stfgle1
Scaly-throated Foliage-gleaner (Scaly-throated),sctfog1
Scaly-throated Foliage-gleaner (Spot-breasted),sctfog2
Montane Foliage-gleaner,mofgle1
Rufous-tailed Foliage-gleaner,rutfog1
White-browed Foliage-gleaner,whbfog1
Ochre-breasted Foliage-gleaner,obfgle2
Anabacerthia sp.,anabac1
Guttulate Foliage-gleaner,gufgle1
Lineated Foliage-gleaner,lifgle1
Buff-browed Foliage-gleaner,bbfgle1
Rufous-necked Foliage-gleaner,rnfgle1
Russet-mantled Foliage-gleaner,rumfog1
White-throated Foliage-gleaner,wtfgle1
Peruvian Recurvebill,perrec1
Bolivian Recurvebill,bolrec1
Syndactyla sp.,syndac1
Chestnut-winged Hookbill,chwhoo1
Chestnut-capped Foliage-gleaner,ccfgle1
Canebrake Groundcreeper,cangro1
Henna-hooded Foliage-gleaner,hhfgle1
Ruddy Foliage-gleaner,rufgle1
Ruddy Foliage-gleaner (Rusty),rudfog1
Ruddy Foliage-gleaner (Black-tailed),rudfog2
Ruddy Foliage-gleaner (Cinnamon-throated),rudfog3
Ruddy Foliage-gleaner (Dusky),rudfog4
Ruddy Foliage-gleaner (Watkins's),rudfog5
Santa Marta Foliage-gleaner,samfog1
Uniform Treehunter,unitre1
Flammulated Treehunter,flatre1
Rufous-backed Treehunter,rubtre1
Striped Treehunter,strtre1
Streak-capped Treehunter,stctre1
Streak-breasted Treehunter,stbtre1
Black-billed Treehunter,blbtre1
Chestnut-crowned Foliage-gleaner,ccfgle2
Brown-rumped Foliage-gleaner,brfgle1
Buff-throated Foliage-gleaner,btfgle1
Buff-throated Foliage-gleaner (Mexican),butfog1
Buff-throated Foliage-gleaner (amusos),butfog2
Buff-throated Foliage-gleaner (hypophaeus),butfog3
Buff-throated Foliage-gleaner (exsertus),butfog4
Buff-throated Foliage-gleaner (pallidigularis),butfog5
Buff-throated Foliage-gleaner (turdinus),butfog6
Buff-throated Foliage-gleaner (ochrolaemus),butfog7
Buff-throated Foliage-gleaner (auricularis),butfog8
Striped Woodhaunter,strwoo1
Striped Woodhaunter (Central American),strwoo5
Striped Woodhaunter (Eastern South America),strwoo4
Olive-backed Foliage-gleaner,obfgle3
Olive-backed Foliage-gleaner (Olive-backed),olbfog1
Olive-backed Foliage-gleaner (Olive-capped),olbfog2
Para Foliage-gleaner,parfog1
Pernambuco Foliage-gleaner,perfog1
White-eyed Foliage-gleaner,wefgle1
Automolus sp.,automo1
foliage-gleaner sp.,foliag1
Spotted Barbtail,spobar1
White-throated Barbtail,whtbar1
White-throated Barbtail (White-throated),whtbar2
White-throated Barbtail (Paria),whtbar3
Beautiful Treerunner,beatre1
Ruddy Treerunner,rudtre1
Fulvous-dotted Treerunner,fudtre1
Pearled Treerunner,peatre1
Thorn-tailed Rayadito,thtray1
Masafuera Rayadito,masray1
Des Murs's Wiretail,demwir1
Brown-capped Tit-Spinetail,bctspi1
Tawny Tit-Spinetail,tatspi1
Tufted Tit-Spinetail,tutspi1
Plain-mantled Tit-Spinetail,pmtspi1
Plain-mantled Tit-Spinetail (grisescens),plmtis3
Plain-mantled Tit-Spinetail (berlepschi),plmtis2
Plain-mantled Tit-Spinetail (aegithaloides),plmtis1
Plain-mantled Tit-Spinetail (pallida),plmtis4
Striolated Tit-Spinetail,sttspi2
Rusty-crowned Tit-Spinetail,rctspi1
White-browed Tit-Spinetail,wbtspi1
Streaked Tit-Spinetail,sttspi1
Andean Tit-Spinetail,antspi1
Araucaria Tit-Spinetail,artspi1
tit-spinetail sp.,tit-sp1
Rufous-fronted Thornbird,ruftho1
Rufous-fronted Thornbird (Plain),ruftho3
Rufous-fronted Thornbird (Rufous-fronted),ruftho2
Mantaro Thornbird (undescribed form),mantho1
Streak-fronted Thornbird,stftho1
Little Thornbird,littho1
Chestnut-backed Thornbird,chbtho1
Spot-breasted Thornbird,spbtho1
Freckle-breasted Thornbird,frbtho1
Greater Thornbird,gretho2
Orange-eyed Thornbird,oretho1
Orange-breasted Thornbird,orbtho1
Orange-eyed/Orange-breasted Thornbird,reetho1
thornbird sp.,thornb2
White-browed Spinetail,whbspi2
White-browed Spinetail (gularis),whbspi3
White-browed Spinetail (brunneidorsalis),whbspi4
White-browed Spinetail (cinereiventris),whbspi5
White-browed Spinetail (rufiventris),whbspi6
Firewood-gatherer,firgat1
Lark-like Brushrunner,lalbru1
Creamy-breasted Canastero,crbcan1
Creamy-breasted Canastero (Creamy-breasted),crbcan2
Creamy-breasted Canastero (Dark-winged),crbcan4
Creamy-breasted Canastero (Pale-tailed),crbcan3
Berlepsch's Canastero,bercan1
Short-billed Canastero,shbcan1
Cipo Canastero,cipcan1
Hudson's Canastero,hudcan1
Austral Canastero,auscan1
Line-fronted Canastero,lifcan1
Many-striped Canastero,mascan1
Junin Canastero,juncan1
Scribble-tailed Canastero,sctcan1
Streak-backed Canastero,stbcan1
Puna Canastero,puncan1
Streak-throated Canastero,sttcan1
Cordilleran Canastero,corcan1
Itatiaia Spinetail,itaspi1
Sharp-billed Canastero,shbcan2
Black-throated Thistletail,bltthi1
Puna Thistletail,punthi1
Ayacucho Thistletail,vilthi3
Vilcabamba Thistletail,vilthi2
Canyon Canastero,cancan1
Rusty-fronted Canastero,rufcan1
Maquis Canastero,maqcan1
Eye-ringed Thistletail,eyrthi1
Ochre-browed Thistletail,ocbthi1
Perija Thistletail,perthi1
White-chinned Thistletail,whcthi1
Mouse-colored Thistletail,mocthi1
canastero sp.,canast1
Pink-legged Graveteiro,pilgra1
Orange-fronted Plushcrown,orfplu2
Double-banded Graytail,dobgra1
Equatorial Graytail,equgra1
Spectacled Prickletail,spepri1
Roraiman Barbtail,rorbar1
Striated Softtail,strsof1
Orinoco Softtail,orisof1
Delta Amacuro Softtail,deasof1
Plain Softtail,plasof1
Russet-mantled Softtail,rumsof1
softtail sp.,softta1
Straight-billed Reedhaunter,stbree2
Curve-billed/Straight-billed Reedhaunter,y00686
Marcapata Spinetail,marspi2
Marcapata Spinetail (Pale-crowned),marspi1
Marcapata Spinetail (Rufous-crowned),marspi4
Light-crowned Spinetail,licspi1
Light-crowned Spinetail (White-crowned),licspi3
Light-crowned Spinetail (Buffy-crowned),licspi4
Rusty-backed Spinetail,rubspi4
Coiba Spinetail,rubspi5
Parker's Spinetail,parspi1
Sulphur-throated Spinetail,sutspi1
Crested Spinetail,crespi1
Stripe-crowned Spinetail,stcspi2
Bolivian Spinetail,bolspi1
Olive Spinetail,olispi1
Stripe-crowned x Olive Spinetail (hybrid),x00740
Pallid Spinetail,palspi1
Gray-headed Spinetail,gyhspi1
Creamy-crested Spinetail,crcspi1
Red-faced Spinetail,refspi1
Tepui Spinetail,tepspi1
Streak-capped Spinetail,stcspi1
Ash-browed Spinetail,asbspi1
Line-cheeked Spinetail,licspi2
Baron's Spinetail,barspi1
Speckled Spinetail,spespi1
Scaled Spinetail,scaspi1
Cranioleuca sp.,cranio1
Dusky-tailed Canastero,dutcan1
Patagonian Canastero,patcan2
Steinbach's Canastero,stecan1
Cactus Canastero,caccan1
Bay-capped Wren-Spinetail,bcwspi1
Caatinga Cacholote,caacac1
Rufous Cacholote,rufcac2
Brown Cacholote,brncac1
White-throated Cacholote,whtcac2
Yellow-chinned Spinetail,yecspi2
Red-and-white Spinetail,rawspi2
Yellow-chinned/Red-and-white Spinetail,y00970
Araguaia River Spinetail (undescribed form),arrspi1
White-bellied Spinetail,whbspi1
Chotoy Spinetail,chospi2
Ochre-cheeked Spinetail,occspi1
Gray-bellied Spinetail,gybspi1
Plain-crowned Spinetail,plcspi1
White-lored Spinetail,whlspi1
White-lored Spinetail (White-lored),whlspi2
White-lored Spinetail (Araguaia),whlspi3
Maraon Spinetail,marspi3
Great Spinetail,grespi2
Necklaced Spinetail,necspi1
Necklaced Spinetail (Necklaced),necspi2
Necklaced Spinetail (Chinchipe),necspi3
Russet-bellied Spinetail,rubspi3
Slaty Spinetail,slaspi1
Silvery-throated Spinetail,sitspi1
Red-shouldered Spinetail,resspi2
Rufous-capped Spinetail,rucspi1
Bahia Spinetail,bahspi1
Pinto's Spinetail,pinspi1
Amazonian Spinetail (undescribed form),amaspi1
Dusky Spinetail,dusspi1
McConnell's Spinetail,mccspi1
Cabanis's Spinetail,cabspi1
Cinereous-breasted Spinetail,cibspi1
Spix's Spinetail,spispi1
Dark-breasted Spinetail,dabspi1
Rio Orinoco Spinetail,riospi1
Pale-breasted Spinetail,pabspi1
Sooty-fronted Spinetail,sofspi1
Azara's Spinetail,azaspi1
Mantaro Spinetail (undescribed form),manspi1
Apurimac Spinetail,apuspi1
Azara's/Apurimac Spinetail,y00700
Hoary-throated Spinetail,hotspi1
Rufous-breasted Spinetail,rubspi2
White-whiskered Spinetail,whwspi1
Blackish-headed Spinetail,blhspi1
Rusty-headed Spinetail,ruhspi1
Rufous Spinetail,rufspi1
Rufous Spinetail (unirufa),rufspi2
Rufous Spinetail (munoztebari),rufspi3
Rufous Spinetail (meridana),rufspi4
Rufous Spinetail (ochrogaster),rufspi5
Black-throated Spinetail,bltspi1
Stripe-breasted Spinetail,stbspi1
Ruddy Spinetail,rudspi1
Chestnut-throated Spinetail,chtspi1
Synallaxis sp.,synall1
spinetail sp.,spinet1
Furnariid sp.,furnar1
Yellow-bellied Tyrannulet,yebtyr1
Brown-capped Tyrannulet,brctyr
White-lored Tyrannulet,whltyr1
Northern Beardless-Tyrannulet,nobtyr
Southern Beardless-Tyrannulet,sobtyr1
Southern Beardless-Tyrannulet (Northern),soubet1
Southern Beardless-Tyrannulet (Southern),soubet2
Suiriri Flycatcher,suifly1
Chapada Flycatcher,chafly3
Suiriri/Chapada Flycatcher,y00883
White-tailed Tyrannulet,whttyr1
Buff-banded Tyrannulet,bubtyr1
White-banded Tyrannulet,whbtyr1
White-throated Tyrannulet,whttyr2
Rufous-winged Tyrannulet,ruwtyr1
Sulphur-bellied Tyrannulet,subtyr1
Black-crested Tit-Tyrant,bkctit1
Pied-crested Tit-Tyrant,pcttyr1
Ash-breasted Tit-Tyrant,abttyr1
Yellow-billed Tit-Tyrant,ybttyr1
Tufted Tit-Tyrant,tuttyr1
Juan Fernandez Tit-Tyrant,jfttyr1
Anairetes sp.,anaire1
Agile Tit-Tyrant,agitit1
Unstreaked Tit-Tyrant,unstit1
Mouse-colored Tyrannulet,moctyr1
Mouse-colored Tyrannulet (Northern),moctyr7
Mouse-colored Tyrannulet (Amazonian),moctyr3
Mouse-colored Tyrannulet (Tumbes),moctyr6
Mouse-colored Tyrannulet (Maraon),moctyr4
Cocos Flycatcher,cocfly1
Yellow Tyrannulet,yeltyr1
Bearded Tachuri,beatac1
Gray-backed Tachuri,gybtac1
Crested Doradito,credor1
Subtropical Doradito,subdor1
Dinelli's Doradito,dindor2
Warbling Doradito,wardor1
Ticking Doradito,ticdor1
Warbling/Ticking Doradito,y00660
doradito sp.,doradi1
Yellow-crowned Tyrannulet,yectyr1
Forest Elaenia,forela1
Gray Elaenia,graela2
Gray Elaenia (Choco),gryela1
Gray Elaenia (Gray),gryela2
Gray Elaenia (Gray-headed),gryela3
Foothill Elaenia,fooela1
Foothill Elaenia (Perija),fooela2
Foothill Elaenia (Antioquia),fooela3
Foothill Elaenia (Foothill),fooela4
Pacific Elaenia,pacela1
Yellow-crowned Elaenia,yecela1
Jamaican Elaenia,jamela1
Greenish Elaenia,greela
Greenish Elaenia (West Mexico),greela2
Greenish Elaenia (Greenish),greela3
elaenia sp. (genus Myiopagis),myiopa1
Caribbean Elaenia,carela1
Caribbean Elaenia (Caribbean),carela2
Caribbean Elaenia (Chinchorro),carela3
Yellow-bellied Elaenia,yebela1
Large Elaenia,larela1
Noronha Elaenia,norela1
White-crested Elaenia,whcela1
White-crested Elaenia (White-crested),whcela2
White-crested Elaenia (Chilean),whcela4
White-crested Elaenia (Peruvian),whcela3
Small-billed Elaenia,smbela1
White-crested/Small-billed Elaenia,y00739
Olivaceous Elaenia,oliela1
Slaty Elaenia,slaela1
Mottle-backed Elaenia,mobela1
Brownish Elaenia,broela1
Plain-crested Elaenia,plcela1
Lesser Elaenia,lesela1
Coopmans's Elaenia,cooela1
Rufous-crowned Elaenia,rucela1
Mountain Elaenia,mouela1
Greater Antillean Elaenia,graela1
Greater Antillean Elaenia (Jamaican),graela3
Greater Antillean Elaenia (Hispaniolan),graela4
Highland Elaenia,higela1
Highland Elaenia (Highland),higela2
Highland Elaenia (Brazilian),higela3
Great Elaenia,greela1
Sierran Elaenia,sieela1
Sierran Elaenia (Roraiman),sieela2
Sierran Elaenia (Andean),sieela3
elaenia sp. (genus Elaenia),elaeni1
Torrent Tyrannulet,tortyr1
River Tyrannulet,rivtyr1
Sooty Tyrannulet,sootyr1
White-crested Tyrannulet,whctyr1
White-bellied Tyrannulet,whbtyr2
White-crested/White-bellied Tyrannulet,y01036
Straneck's Tyrannulet,gyctyr2
White-crested/Straneck's Tyrannulet,y00884
Serpophaga sp.,serpop1
Streak-necked Flycatcher,stnfly1
Olive-striped Flycatcher,olsfly1
Olive-striped Flycatcher (Olive-streaked),olsfly2
Olive-striped Flycatcher (Olive-striped),olsfly3
Streak-necked/Olive-striped Flycatcher,y00796
Ochre-bellied Flycatcher,ocbfly1
McConnell's Flycatcher,mccfly1
McConnell's Flycatcher (Guianan),mccfly2
McConnell's Flycatcher (Sierra de Lema),mccfly3
McConnell's Flycatcher (Inambari),mccfly4
Ochre-bellied/McConnell's Flycatcher,y00797
Gray-hooded Flycatcher,gyhfly1
Mionectes sp.,mionec1
Sepia-capped Flycatcher,secfly1
Slaty-capped Flycatcher,slcfly1
Slaty-capped Flycatcher (transandinus),slcfly4
Slaty-capped Flycatcher (superciliaris),slcfly2
Slaty-capped Flycatcher (albidiventris),slcfly3
Rufous-breasted Flycatcher,rubfly2
Inca Flycatcher,incfly1
Variegated Bristle-Tyrant,vabtyr1
Chapman's Bristle-Tyrant,chabrt1
Marble-faced Bristle-Tyrant,mfbtyr1
Venezuelan Bristle-Tyrant,vebtyr2
Antioquia Bristle-Tyrant,anbtyr1
Spectacled Bristle-Tyrant,spbtyr1
Southern Bristle-Tyrant,sobtyr2
Mottle-cheeked Tyrannulet,moctyr2
Restinga Tyrannulet,restyr1
Bahia Tyrannulet,bahtyr1
Yellow-green Tyrannulet,yegtyr1
Olive-green Tyrannulet,olgtyr1
Ecuadorian Tyrannulet,ecutyr1
Black-fronted Tyrannulet,blftyr1
Rufous-browed Tyrannulet,rubtyr1
Alagoas Tyrannulet,alatyr1
Rufous-lored Tyrannulet,rultyr1
Cinnamon-faced Tyrannulet,ciftyr1
Minas Gerais Tyrannulet,migtyr1
Sao Paulo Tyrannulet,saptyr1
Oustalet's Tyrannulet,oustyr1
Serra do Mar Tyrannulet,sdmtyr2
Bay-ringed Tyrannulet,bartyr1
Phylloscartes sp.,phyllo2
Rough-legged Tyrannulet,roltyr1
Rough-legged Tyrannulet (Zeledon's),roltyr2
Rough-legged Tyrannulet (White-fronted),roltyr4
Rough-legged Tyrannulet (Burmeister's),roltyr3
Greenish Tyrannulet,gretyr1
Reiser's Tyrannulet,reityr1
Urich's Tyrannulet,urityr1
Sclater's Tyrannulet,scltyr1
Planalto Tyrannulet,platyr2
Yungas Tyrannulet,yuntyr1
Sooty-headed Tyrannulet,sohtyr1
Black-capped Tyrannulet,blctyr1
Ashy-headed Tyrannulet,ashtyr1
Tawny-rumped Tyrannulet,tartyr1
Plumbeous-crowned Tyrannulet,plctyr1
Gray-capped Tyrannulet,gyctyr1
Phyllomyias sp.,phyllo3
Paltry Tyrannulet,paltyr1
Paltry Tyrannulet (Paltry),paltyr2
Paltry Tyrannulet (Mistletoe),paltyr3
Paltry Tyrannulet (Mountain),paltyr4
Paltry Tyrannulet (Venezuelan),paltyr5
Choco Tyrannulet,chotyr1
Bolivian Tyrannulet,boltyr1
Red-billed Tyrannulet,rebtyr2
Mishana Tyrannulet,mistyr1
Chico's Tyrannulet,chityr1
Slender-footed Tyrannulet,slftyr1
Guianan Tyrannulet,guityr1
Golden-faced Tyrannulet,goftyr1
Golden-faced Tyrannulet (Coopmans's),goftyr5
Golden-faced Tyrannulet (Golden-faced),goftyr3
Golden-faced Tyrannulet (Loja),goftyr4
Peruvian Tyrannulet,pertyr1
Peruvian Tyrannulet (Amazonas) (undescribed form),goftyr2
Zimmerius sp.,zimmer1
Northern Scrub-Flycatcher,nosfly1
Amazonian Scrub-Flycatcher,amsfly1
Southern Scrub-Flycatcher,sosfly1
scrub-flycatcher sp.,scrub-2
Slender-billed Tyrannulet,slbtyr1
Plain Tyrannulet,platyr1
Amazonian Tyrannulet,amatyr1
Pale-tipped Tyrannulet,pattyr3
Ornate Flycatcher,ornfly1
Ornate Flycatcher (Western),ornfly2
Ornate Flycatcher (Eastern),ornfly3
Many-colored Rush Tyrant,mcrtyr1
Sharp-tailed Tyrant,shttyr1
Bronze-olive Pygmy-Tyrant,boptyr1
Bronze-olive Pygmy-Tyrant (annectens/berlepschi),bropyt1
Bronze-olive Pygmy-Tyrant (pelzelni/peruvianus),bropyt2
Hazel-fronted Pygmy-Tyrant,hfptyr1
Rufous-headed Pygmy-Tyrant,rhptyr1
Ringed Antpipit,rinant2
Southern Antpipit,souant1
Tawny-crowned Pygmy-Tyrant,tcptyr1
Tawny-crowned Pygmy-Tyrant (Tawny-crowned),tacpyt1
Tawny-crowned Pygmy-Tyrant (Tawny-fronted),tacpyt2
Rufous-sided Pygmy-Tyrant,rsptyr1
Gray-and-white Tyrannulet,gawtyr2
Lesser Wagtail-Tyrant,lewtyr1
Lesser Wagtail-Tyrant (Lesser),leswat1
Lesser Wagtail-Tyrant (Bahia),leswat2
Orinoco Wagtail-Tyrant (undescribed form),oriwat1
Greater Wagtail-Tyrant,grwtyr1
Greater Wagtail-Tyrant (Greater),grewat1
Greater Wagtail-Tyrant (Caatinga),grewat2
Eared Pygmy-Tyrant,eaptyr1
Maranhao-Piaui Pygmy-Tyrant (undescribed form),mappyt1
White-bellied Pygmy-Tyrant,wbptyr1
Black-capped Pygmy-Tyrant,bcptyr1
Short-tailed Pygmy-Tyrant,stptyr1
Scale-crested Pygmy-Tyrant,scptyr1
Double-banded Pygmy-Tyrant,dbptyr1
Long-crested Pygmy-Tyrant,lcptyr1
Helmeted Pygmy-Tyrant,heptyr1
Lophotriccus sp.,lophot1
Pale-eyed Pygmy-Tyrant,peptyr1
Northern Bentbill,norben1
Southern Bentbill,souben1
Snethlage's Tody-Tyrant,snttyr1
Yungas Tody-Tyrant,yuttyr1
Acre Tody-Tyrant,acrtot1
Flammulated Pygmy-Tyrant,flapyt1
Drab-breasted Pygmy-Tyrant,drbpyt1
Brown-breasted Pygmy-Tyrant,bnbpyt1
Boat-billed Tody-Tyrant,bbttyr1
White-eyed Tody-Tyrant,wettyr1
White-bellied Tody-Tyrant,whbtot1
Eye-ringed Tody-Tyrant,erttyr1
Johannes's Tody-Tyrant,jottyr1
Stripe-necked Tody-Tyrant,snttyr2
Hangnest Tody-Tyrant,hattyr1
Pearly-vented Tody-Tyrant,pvttyr1
Pelzeln's Tody-Tyrant,pettyr1
Zimmer's Tody-Tyrant,zittyr1
Black-throated Tody-Tyrant,btttyr1
Cinnamon-breasted Tody-Tyrant,cbttyr1
Buff-breasted Tody-Tyrant,bbttyr2
Kaempfer's Tody-Tyrant,kattyr1
Buff-throated Tody-Tyrant,btttyr2
Fork-tailed Pygmy-Tyrant,fotpyt1
Hemitriccus sp.,hemitr1
Rufous-crowned Tody-Flycatcher,rcttyr1
Johnson's Tody-Flycatcher,johtot1
White-cheeked Tody-Flycatcher,wcttyr1
Black-and-white Tody-Flycatcher,bawtyr1
Buff-cheeked Tody-Flycatcher,buctof1
Ruddy Tody-Flycatcher,rudtof1
Ochre-faced Tody-Flycatcher,ocftof1
Smoky-fronted Tody-Flycatcher,smftof1
Rusty-fronted Tody-Flycatcher,ruftof1
Slate-headed Tody-Flycatcher,shtfly1
Golden-winged Tody-Flycatcher,gowtof1
Black-backed Tody-Flycatcher,bkbtof1
Poecilotriccus sp.,poecil1
Black-chested Tyrant,blctyr2
Spotted Tody-Flycatcher,sptfly1
Gray-headed Tody-Flycatcher,gyhtof1
Common Tody-Flycatcher,cotfly1
Maracaibo Tody-Flycatcher,matfly1
Black-headed Tody-Flycatcher,bhtfly1
Painted Tody-Flycatcher,patfly1
Yellow-browed Tody-Flycatcher,ybtfly1
Todirostrum sp.,todiro1
Brownish Twistwing,brofly1
Rufous Twistwing,ruftwi1
Eye-ringed Flatbill,eyrfla1
Olivaceous Flatbill,olifla1
Olivaceous Flatbill (Western),olifla2
Olivaceous Flatbill (Eastern),olifla3
Pacific Flatbill,pacfla1
Fulvous-breasted Flatbill,fubfla1
flatbill sp.,flatbi1
Yellow-olive Flycatcher,yeofly1
Yellow-olive Flycatcher (Gray-headed),yeofly6
Yellow-olive Flycatcher (Yellow-olive),yeofly7
Yellow-olive Flycatcher (asemus),yeofly8
Yellow-olive Flycatcher (confusus),yeofly9
Yellow-olive Flycatcher (Santa Marta),yeofly10
Yellow-olive Flycatcher (Trinidad),yeofly11
Yellow-olive Flycatcher (Guianan),yeofly12
Yellow-olive Flycatcher (Equatorial),yeofly2
Yellow-olive Flycatcher (Andes),yeofly4
Yellow-olive Flycatcher (Riverine),yeofly3
Yellow-olive Flycatcher (Para),yeofly13
Yellow-olive Flycatcher (inornatus),yeofly14
Yellow-olive Flycatcher (Mato Grosso),yeofly5
Yellow-olive Flycatcher (grisescens),yeofly15
Yellow-olive Flycatcher (Sooretama),yeofly16
Orange-eyed Flycatcher,orefly1
Yellow-margined Flycatcher,yemfly1
Yellow-margined Flycatcher (Yellow-margined),yemfly2
Yellow-margined Flycatcher (Zimmer's),yemfly3
Yellow-margined Flycatcher (Sucunduri),sucfly1
Gray-crowned Flycatcher,gycfly1
Yellow-breasted Flycatcher,yebfly1
Yellow-breasted Flycatcher (Ochre-lored),yebfly3
Yellow-breasted Flycatcher (Olive-faced),yebfly4
Tolmomyias sp.,tolmom1
Cinnamon Manakin-Tyrant,cinmat1
Kinglet Calyptura,kincal1
Cinnamon-crested Spadebill,cicspa1
Stub-tailed Spadebill,sttspa1
White-throated Spadebill,whtspa1
White-throated Spadebill (Western),whtspa2
White-throated Spadebill (Eastern),whtspa3
Golden-crowned Spadebill,gocspa1
Yellow-throated Spadebill,yetspa1
White-crested Spadebill,whcspa1
Russet-winged Spadebill,ruwspa1
spadebill sp.,spadeb1
Royal Flycatcher,royfly1
Royal Flycatcher (Northern),royfly2
Royal Flycatcher (Pacific),royfly3
Royal Flycatcher (Amazonian),royfly4
Royal Flycatcher (Swainson's),royfly5
Ruddy-tailed Flycatcher,rutfly2
Cinnamon Flycatcher,cinfly2
Cliff Flycatcher,clifly1
Cliff Flycatcher (Cliff),clifly2
Cliff Flycatcher (Swallow),clifly3
Handsome Flycatcher,hanfly1
Orange-banded Flycatcher,orbfly1
Ochraceous-breasted Flycatcher,ocbfly2
Tawny-breasted Flycatcher,tabfly1
Sulphur-rumped Flycatcher,surfly1
Whiskered Flycatcher,whifly1
Whiskered Flycatcher (Whiskered),surfly4
Whiskered Flycatcher (Yellow-rumped),surfly5
Black-tailed Flycatcher,bltfly1
Black-tailed Flycatcher (Black-tailed),bktfly1
Black-tailed Flycatcher (Buff-rumped),bktfly2
Sulphur-rumped/Black-tailed Flycatcher,y01037
Whiskered/Black-tailed Flycatcher,y01038
Myiobius sp.,myiobi1
Flavescent Flycatcher,flafly2
Orange-crested Flycatcher,orcfly1
Unadorned Flycatcher,unafly1
Roraiman Flycatcher,rorfly1
Olive-chested Flycatcher,olcfly1
Bran-colored Flycatcher,brcfly1
Bran-colored Flycatcher (Bran-colored),brcfly2
Bran-colored Flycatcher (Rufescent),brcfly3
Myiophobus sp.,myioph1
Euler's Flycatcher,eulfly1
Euler's Flycatcher (Lawrence's),eulfly2
Euler's Flycatcher (Euler's),eulfly3
Gray-breasted Flycatcher,gybfly1
Tawny-chested Flycatcher,tacfly1
Black-billed Flycatcher,blbfly1
Belted Flycatcher,belfly1
Pileated Flycatcher,pilfly1
Tufted Flycatcher,tuffly
Tufted Flycatcher (Mexican),tuffly1
Tufted Flycatcher (Costa Rican),tuffly2
Tufted Flycatcher (South American),tuffly3
Olive Flycatcher,olifly2
Olive-sided Flycatcher,olsfly
Greater Pewee,grepew
Greater Pewee (Mexican),grepew1
Greater Pewee (Central American),grepew2
Dark Pewee,darpew1
Smoke-colored Pewee,smcpew1
Ochraceous Pewee,ochpew1
